ticker,sector,industry
A,Healthcare,Diagnostics & Research
AA,Basic Materials,Aluminum
AACB,Financial Services,Shell Companies
AACG,Consumer Defensive,Education & Training Services
AACI,Financial Services,Shell Companies
AACT,Financial Services,Shell Companies
AAL,Industrials,Airlines
AAM,Financial Services,Shell Companies
AAME,Financial Services,Insurance - Life
AAMI,Financial Services,Asset Management
AAOI,Technology,Communication Equipment
AAON,Industrials,Building Products & Equipment
AAP,Consumer Cyclical,Auto Parts
AAPG,Healthcare,Biotechnology
AAPL,Technology,Consumer Electronics
AARD,Healthcare,Biotechnology
AAT,Real Estate,REIT - Diversified
AAUC,Basic Materials,Gold
AB,Financial Services,Asset Management
ABAT,Industrials,Waste Management
ABBV,Healthcare,Drug Manufacturers - General
ABCB,Financial Services,Banks - Regional
ABCL,Healthcare,Biotechnology
ABEO,Healthcare,Biotechnology
ABEV,Consumer Defensive,Beverages - Brewers
ABG,Consumer Cyclical,Auto & Truck Dealerships
ABL,Financial Services,Insurance - Life
ABLV,Communication Services,Advertising Agencies
ABM,Industrials,Specialty Business Services
ABNB,Consumer Cyclical,Travel Services
ABOS,Healthcare,Biotechnology
ABP,Healthcare,Biotechnology
ABR,Real Estate,REIT - Mortgage
ABSI,Healthcare,Biotechnology
ABT,Healthcare,Medical Devices
ABTC,Financial Services,Capital Markets
ABTS,Financial Services,Capital Markets
ABUS,Healthcare,Biotechnology
ABVC,Healthcare,Biotechnology
ABVE,Consumer Defensive,Packaged Foods
ABVX,Healthcare,Biotechnology
ACA,Industrials,Engineering & Construction
ACAD,Healthcare,Biotechnology
ACB,Healthcare,Drug Manufacturers - Specialty & Generic
ACCO,Industrials,Business Equipment & Supplies
ACCS,Communication Services,Advertising Agencies
ACDC,Energy,Oil & Gas Equipment & Services
ACEL,Consumer Cyclical,Gambling
ACET,Healthcare,Biotechnology
ACFN,Technology,Scientific & Technical Instruments
ACGL,Financial Services,Insurance - Diversified
ACHC,Healthcare,Medical Care Facilities
ACHR,Industrials,Aerospace & Defense
ACHV,Healthcare,Biotechnology
ACI,Consumer Defensive,Grocery Stores
ACIC,Financial Services,Insurance - Property & Casualty
ACIU,Healthcare,Biotechnology
ACIW,Technology,Software - Infrastructure
ACLS,Technology,Semiconductor Equipment & Materials
ACLX,Healthcare,Biotechnology
ACM,Industrials,Engineering & Construction
ACMR,Technology,Semiconductor Equipment & Materials
ACN,Technology,Information Technology Services
ACNB,Financial Services,Banks - Regional
ACNT,Basic Materials,Steel
ACOG,Healthcare,Biotechnology
ACON,Healthcare,Health Information Services
ACP,Financial Services,Asset Management
ACR,Real Estate,REIT - Mortgage
ACRE,Real Estate,REIT - Mortgage
ACRS,Healthcare,Biotechnology
ACRV,Healthcare,Biotechnology
ACT,Financial Services,Insurance - Specialty
ACTG,Industrials,Business Equipment & Supplies
ACTU,Healthcare,Biotechnology
ACU,Consumer Defensive,Household & Personal Products
ACV,Financial Services,Asset Management
ACVA,Consumer Cyclical,Auto & Truck Dealerships
ACXP,Healthcare,Biotechnology
AD,Communication Services,Telecom Services
ADAG,Healthcare,Biotechnology
ADAM,Real Estate,REIT - Mortgage
ADAP,Healthcare,Biotechnology
ADBE,Technology,Software - Application
ADC,Real Estate,REIT - Retail
ADCT,Healthcare,Biotechnology
ADEA,Technology,Software - Application
ADGM,Healthcare,Medical Devices
ADI,Technology,Semiconductors
ADIL,Healthcare,Biotechnology
ADM,Consumer Defensive,Farm Products
ADMA,Healthcare,Biotechnology
ADN,Industrials,Electrical Equipment & Parts
ADNT,Consumer Cyclical,Auto Parts
ADP,Technology,Software - Application
ADPT,Healthcare,Biotechnology
ADSE,Industrials,Electrical Equipment & Parts
ADSK,Technology,Software - Application
ADT,Industrials,Security & Protection Services
ADTN,Technology,Communication Equipment
ADTX,Healthcare,Biotechnology
ADUR,Industrials,Pollution & Treatment Controls
ADUS,Healthcare,Medical Care Facilities
ADV,Communication Services,Advertising Agencies
ADVB,Healthcare,Diagnostics & Research
ADVM,Healthcare,Biotechnology
ADX,Financial Services,Asset Management
ADXN,Healthcare,Biotechnology
AEBI,Industrials,Farm & Heavy Construction Machinery
AEE,Utilities,Utilities - Regulated Electric
AEF,Financial Services,Asset Management
AEG,Financial Services,Insurance - Diversified
AEHL,Industrials,Building Products & Equipment
AEHR,Technology,Semiconductor Equipment & Materials
AEI,Real Estate,Real Estate - Development
AEIS,Industrials,Electrical Equipment & Parts
AEM,Basic Materials,Gold
AEMD,Healthcare,Medical Devices
AENT,Communication Services,Entertainment
AEO,Consumer Cyclical,Apparel Retail
AEON,Healthcare,Biotechnology
AEP,Utilities,Utilities - Regulated Electric
AER,Industrials,Rental & Leasing Services
AERT,Industrials,Consulting Services
AES,Utilities,Utilities - Diversified
AESI,Energy,Oil & Gas Equipment & Services
AEVA,Technology,Software - Infrastructure
AEYE,Technology,Software - Application
AFB,Financial Services,Asset Management
AFBI,Financial Services,Banks - Regional
AFCG,Real Estate,REIT - Mortgage
AFG,Financial Services,Insurance - Property & Casualty
AFJK,Financial Services,Shell Companies
AFL,Financial Services,Insurance - Life
AFRI,Consumer Defensive,Farm Products
AFRM,Technology,Software - Infrastructure
AFYA,Consumer Defensive,Education & Training Services
AG,Basic Materials,Silver
AGAE,Communication Services,Entertainment
AGCO,Industrials,Farm & Heavy Construction Machinery
AGD,,
AGEN,Healthcare,Biotechnology
AGH,Consumer Cyclical,Leisure
AGI,Basic Materials,Gold
AGIO,Healthcare,Biotechnology
AGL,Healthcare,Medical Care Facilities
AGM,Financial Services,Credit Services
AGMH,Technology,Computer Hardware
AGNC,Real Estate,REIT - Mortgage
AGO,Financial Services,Insurance - Specialty
AGRI,Consumer Defensive,Farm Products
AGRO,Consumer Defensive,Farm Products
AGX,Industrials,Engineering & Construction
AGYS,Technology,Software - Application
AHCO,Healthcare,Medical Devices
AHG,Healthcare,Medical Distribution
AHH,Real Estate,REIT - Diversified
AHL,Financial Services,Insurance - Property & Casualty
AHR,Real Estate,REIT - Healthcare Facilities
AHT,Real Estate,REIT - Hotel & Motel
AI,Technology,Software - Infrastructure
AIFF,Technology,Software - Application
AIFU,Financial Services,Insurance Brokers
AIG,Financial Services,Insurance - Diversified
AIHS,Industrials,Rental & Leasing Services
