company_ticker,score_component,score,confidence,category,justification
PERF,moat_network_effects,3.0,0.55,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Network Effects; mixtral-8...
PERF,competitive_differentiation,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,management_quality,3.5,0.65,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,moat_economies_of_scale,3.5,0.6499999999999999,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Economies Of Scale; mixtra...
PERF,key_growth_drivers,3.75,0.825,strategic_insights,Consensus from 2 models: llama-3-70b: Based on 3 identified growth drivers; mixtral-8x7b: Based on 1...
PERF,platform_expansion,3.5,0.65,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,transformation_potential,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,moat_switching_costs,3.5,0.6,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Switching Costs; mixtral-8...
PERF,market_timing,3.0,0.55,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,moat_barriers_to_entry,3.5,0.6,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Barriers To Entry; mixtral...
PERF,technology_moats,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: PERF Inc....
PERF,moat_brand_monopoly,3.5,0.6499999999999999,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Brand Monopoly; mixtral-8x...
PERF,red_flags,5.0,0.75,strategic_insights,Consensus from 1 models: mixtral-8x7b: Based on 1 identified red flags with average impact 1.0/5.0
PERF,major_risk_factors,2.5,0.825,strategic_insights,Consensus from 2 models: llama-3-70b: Based on 4 identified risk factors; mixtral-8x7b: Based on 1 i...
PERF,competitive_positioning,2.566666666666667,0.8999999999999999,competitive,"Consensus from 1 models: mixtral-8x7b: Analysis of 3 competitors, average threat level: 3.3/5.0"
PERF,COMPOSITE_SCORE,2.306547619047619,0.67,composite,Weighted composite from 15 components
